Name (or Code),RIC,ISIN,CUSIP/CINS,Type of Equity,Exchange,Country of Issuer
adesso SE,ADNGk.DE,DE000A0Z23Q5,D0077G116,Ordinary Share,Xetra,Germany
Cherry AG,C3RY.DE,DE000A3CRRN9,D1T3GZ102,Ordinary Share,Xetra,Germany
VIB Vermoegen AG,VIH1n.DE,DE000A2YPDD0,D8789N121,Ordinary Share,Xetra,Germany
Patrizia AG,PATGn.DE,DE000PAT1AG3,D5988D110,Ordinary Share,Xetra,Germany
Hamburger Hafen und Logistik AG,HHFGn.DE,DE000A0S8488,D3211S103,Ordinary Share,Xetra,Germany
DIC Asset AG,DICn.DE,DE000A1X3XX4,D2837E191,Ordinary Share,Xetra,Germany
Westwing Group SE,WEW.DE,DE000A2N4H07,D9663Z107,Ordinary Share,Xetra,Germany
Grenke AG,GLJn.DE,DE000A161N30,D2854Z135,Ordinary Share,Xetra,Germany
JOST Werke AG,JSTG.DE,DE000JST4000,D3S57J100,Ordinary Share,Xetra,Germany
ADVA Optical Networking SE,ADAG.DE,DE0005103006,D0190E105,Ordinary Share,Xetra,Germany
Elringklinger AG,ZILGn.DE,DE0007856023,D2462K108,Ordinary Share,Xetra,Germany
Deutsche Rohstoff AG,DR0G.DE,DE000A0XYG76,D19102132,Ordinary Share,Xetra,Germany
Formycon AG,FYB.DE,DE000A1EWVY8,D2R73J129,Ordinary Share,Xetra,Germany
Leoni AG,LEOGn.DE,DE0005408884,D5009P118,Ordinary Share,Xetra,Germany
Atoss Software AG,AOFG.DE,DE0005104400,D0426N101,Ordinary Share,Xetra,Germany
2G Energy AG,2GBG.DE,DE000A0HL8N9,D8453H103,Ordinary Share,Xetra,Germany
Home24 SE,H24.DE,DE000A14KEB5,D3R2M2108,Ordinary Share,Xetra,Germany
Mutares SE & Co KgaA,MUXG.DE,DE000A2NB650,D5624A157,Ordinary Share,Xetra,Germany
Mensch und Maschine Software SE,MUMG.DE,DE0006580806,D5345W108,Ordinary Share,Xetra,Germany
Deutsche Beteiligungs AG,DBANn.DE,DE000A1TNUT7,D18150181,Ordinary Share,Xetra,Germany
SUESS MicroTec SE,SMHNn.DE,DE000A1K0235,D82791167,Ordinary Share,Xetra,Germany
Medios AG,ILM1k.DE,DE000A1MMCC8,D22430116,Ordinary Share,Xetra,Germany
Cewe Stiftung & Co KGaA,CWCG.DE,DE0005403901,D1499B107,Ordinary Share,Xetra,Germany
Hamborner REIT AG,HABAn.DE,DE000A3H2333,D29316144,Ordinary Share,Xetra,Germany
Wuestenrot & Wuerttembergische AG,WUWGn.DE,DE0008051004,D9805G108,Ordinary Share,Xetra,Germany
Compleo Charging Solutions AG,C0M.DE,DE000A2QDNX9,D1T2Z9101,Ordinary Share,Xetra,Germany
Vossloh AG,VOSG.DE,DE0007667107,D9494V101,Ordinary Share,Xetra,Germany
Basler AG,BSLG.DE,DE0005102008,D0629N106,Ordinary Share,Xetra,Germany
Takkt AG,TTKG.DE,DE0007446007,D82824109,Ordinary Share,Xetra,Germany
Ernst Russ AG,HXCKk.DE,DE000A161077,D3R5A0116,Ordinary Share,Xetra,Germany
Bitcoin Group SE,ADE.DE,DE000A1TNV91,D1183E102,Ordinary Share,Xetra,Germany
Koenig & Bauer AG,SKBG.DE,DE0007193500,D39860123,Ordinary Share,Xetra,Germany
Elmos Semiconductor SE,ELGG.DE,DE0005677108,D2462G107,Ordinary Share,Xetra,Germany
alstria office REIT AG,AOXG.DE,DE000A0LD2U1,D0378R100,Ordinary Share,Xetra,Germany
Datagroup SE,D6HG.DE,DE000A0JC8S7,D1666N108,Ordinary Share,Xetra,Germany
Mainz Biomed BV,MYNZ.O,NL0015000LC2,N5436L101,Ordinary Share,NASDAQ Capital Market Consolidated,Germany
KWS SAAT SE & Co KgaA,KWSG.DE,DE0007074007,D39062100,Ordinary Share,Xetra,Germany
New Work SE,NWOn.DE,DE000NWRK013,D5S1L6106,Ordinary Share,Xetra,Germany
CLIQ Digital AG,CLIQ.DE,DE000A0HHJR3,D1463V105,Ordinary Share,Xetra,Germany
Knaus Tabbert AG,KTAG.DE,DE000A2YN504,D4S484103,Ordinary Share,Xetra,Germany
Manz AG,M5ZG.DE,DE000A0JQ5U3,D5110E101,Ordinary Share,Xetra,Germany
Indus Holding AG,INHG.DE,DE0006200108,D3510Y108,Ordinary Share,Xetra,Germany
Bike24 Holding AG,BIKE.DE,DE000A3CQ7F4,D1R2Z9103,Ordinary Share,Xetra,Germany
Fernheizwerk Neukoelln AG,FHWG.F,DE0005767909,D26094108,Ordinary Share,Frankfurt Stock Exchange,Germany
Pfeiffer Vacuum Technology AG,PV.DE,DE0006916604,D6058X101,Ordinary Share,Xetra,Germany
Allgeier SE,AEIGn.DE,DE000A2GS633,D0R2H9113,Ordinary Share,Xetra,Germany
Friedrich Vorwerk Group SE,VH2.DE,DE000A255F11,D2R9Z3109,Ordinary Share,Xetra,Germany
Nexus AG,NXUG.DE,DE0005220909,D5650J106,Ordinary Share,Xetra,Germany
Mynaric AG,M0Y.DE,DE000A0JCY11,D5S4HM118,Ordinary Share,Xetra,Germany
HELMA Eigenheimbau AG,H5EG.DE,DE000A0EQ578,D3410W103,Ordinary Share,Xetra,Germany
FRoSTA AG,HNDG.F,DE0006069008,D33077104,Ordinary Share,Frankfurt Stock Exchange,Germany
Noxxon Pharma NV,ALNOX.PA,NL0012044762,N64938108,Ordinary Share,Euronext Paris,Germany
7C Solarparken AG,HRPKk.DE,DE000A11QW68,D6974F127,Ordinary Share,Xetra,Germany
Gesco AG,GSC1n.DE,DE000A1K0201,D2816Q132,Ordinary Share,Xetra,Germany
IVU Traffic Technologies AG,IVUG.DE,DE0007448508,D3696K104,Ordinary Share,Xetra,Germany
PSI Software AG,PSAGn.DE,DE000A0Z1JH9,D6S2HZ103,Ordinary Share,Xetra,Germany
va Q tec AG,VQTG.DE,DE0006636681,D8T66F105,Ordinary Share,Xetra,Germany
Bertrandt AG,BDTG.DE,DE0005232805,D1014N107,Ordinary Share,Xetra,Germany
Aumann AG,AAGG.DE,DE000A2DAM03,D0R9AW106,Ordinary Share,Xetra,Germany
MBB SE,MBBG.DE,DE000A0ETBQ4,D5345X106,Ordinary Share,Xetra,Germany
WashTec AG,WSUG.DE,DE0007507501,D9545B104,Ordinary Share,Xetra,Germany
Social Chain AG,PU11n.DE,DE000A1YC996,D6S451107,Ordinary Share,Xetra,Germany
Kuka AG,KU2G.DE,DE0006204407,D3862Y102,Ordinary Share,Xetra,Germany
Leifheit AG,LEIG.DE,DE0006464506,D49721109,Ordinary Share,Xetra,Germany
JDC Group AG,JDC.DE,DE000A0B9N37,D04287104,Ordinary Share,Xetra,Germany
MLP SE,MLPG.DE,DE0006569908,D5388S105,Ordinary Share,Xetra,Germany
Draegerwerk AG & Co KGaA,DRWG.DE,DE0005550602,D22938100,Ordinary Share,Xetra,Germany
Wallstreet online AG,WSO1k.DE,DE000A2GS609,D9T41R156,Ordinary Share,Xetra,Germany
Apontis Pharma AG,APPHG.DE,DE000A3CMGM5,D0R2J8105,Ordinary Share,Xetra,Germany
Exasol AG,EXLn.DE,DE000A0LR9G9,D2R9FP102,Ordinary Share,Xetra,Germany
SIGNA Sports United NV,SSU,NL0015000LX8,N80029106,Ordinary Share,NYSE Consolidated,Germany
M1 Kliniken AG,M12.DE,DE000A0STSQ8,D54872110,Ordinary Share,Xetra,Germany
Publity AG,PBYG.DE,DE0006972508,D6S30X104,Ordinary Share,Xetra,Germany
ZEAL Network SE,TIMAn.DE,DE000ZEAL241,D9835K103,Ordinary Share,Xetra,Germany
InflaRx NV,IFRX.O,NL0012661870,N44821101,Ordinary Share,NASDAQ Global Select Consolidated,Germany
init innovation in traffic systems SE,IXXG.DE,DE0005759807,D3572Z100,Ordinary Share,Xetra,Germany
Nynomic AG,M7UG.DE,DE000A0MSN11,D56249101,Ordinary Share,Xetra,Germany
sino AG,XTPG.DE,DE0005765507,D6983Q106,Ordinary Share,Xetra,Germany
